epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.986,1.3244,1.46617,1.20013,0.7576,0.64018,0.67813,0.31495,1.76764,1.14775,1.25503,0.00339744,0.00339744,0.00339744
2,526.39,1.31315,0.76212,1.1751,0.75994,0.59971,0.63878,0.30273,1.76199,1.09799,1.24425,0.00670931,0.00670931,0.00670931
3,761.506,1.33695,0.73538,1.19515,0.74274,0.5745,0.62148,0.26768,1.88273,1.22789,1.33227,0.00973574,0.00973574,0.00973574
4,997.477,1.32638,0.70394,1.1995,0.75577,0.57915,0.63159,0.2933,1.80574,1.1227,1.28538,0.00960361,0.00960361,0.00960361
5,1231.08,1.3022,0.67016,1.188,0.75395,0.62873,0.68279,0.31932,1.78181,1.05039,1.2772,0.00947148,0.00947148,0.00947148
6,1462.07,1.27668,0.63277,1.17737,0.81132,0.65062,0.71512,0.34694,1.67597,0.92333,1.21487,0.00933935,0.00933935,0.00933935
7,1693.97,1.25737,0.61374,1.16947,0.80887,0.68874,0.73846,0.35046,1.68818,0.91083,1.22385,0.00920722,0.00920722,0.00920722
8,1922.88,1.24935,0.59771,1.16851,0.80024,0.70057,0.74189,0.3744,1.59706,0.8833,1.19642,0.00907509,0.00907509,0.00907509
9,2155.96,1.24093,0.58034,1.15897,0.81664,0.71917,0.76106,0.38453,1.60565,0.85008,1.20128,0.00894297,0.00894297,0.00894297
10,2390.08,1.23268,0.57135,1.1556,0.79913,0.71138,0.75867,0.38134,1.59161,0.86495,1.18551,0.00881084,0.00881084,0.00881084
11,2624.76,1.22769,0.56059,1.14937,0.82724,0.726,0.77332,0.39713,1.60273,0.81008,1.19944,0.00867871,0.00867871,0.00867871
12,2860.95,1.20867,0.55293,1.13991,0.84154,0.70121,0.78005,0.40096,1.59499,0.80304,1.18266,0.00854658,0.00854658,0.00854658
13,3096.99,1.2098,0.54999,1.14512,0.83152,0.72791,0.7813,0.40198,1.56708,0.80019,1.17103,0.00841445,0.00841445,0.00841445
14,3331.78,1.20364,0.54505,1.1406,0.83669,0.73937,0.79995,0.41028,1.57034,0.80039,1.17068,0.00828232,0.00828232,0.00828232
15,3564.73,1.19357,0.53474,1.1363,0.81681,0.77305,0.80515,0.41588,1.54467,0.75247,1.17331,0.00815019,0.00815019,0.00815019
16,3795.92,1.19227,0.52585,1.13555,0.85896,0.75883,0.81609,0.41975,1.54714,0.742,1.16328,0.00801806,0.00801806,0.00801806
17,4029.86,1.19613,0.5259,1.13509,0.84063,0.77241,0.80824,0.42784,1.53355,0.72653,1.15475,0.00788593,0.00788593,0.00788593
18,4264.51,1.18195,0.51728,1.12863,0.82991,0.78195,0.81188,0.42301,1.53023,0.7383,1.15099,0.0077538,0.0077538,0.0077538
19,4498.96,1.18455,0.51575,1.13018,0.8316,0.78512,0.81631,0.42946,1.51934,0.71749,1.14395,0.00762167,0.00762167,0.00762167
20,4732.55,1.17899,0.51168,1.12616,0.83434,0.77805,0.81811,0.43284,1.5101,0.7134,1.14847,0.00748954,0.00748954,0.00748954
21,4963.59,1.17739,0.50968,1.12489,0.85202,0.77877,0.82628,0.44109,1.4906,0.7054,1.13173,0.00735741,0.00735741,0.00735741
22,5195.68,1.17278,0.5049,1.1228,0.84622,0.7836,0.82225,0.43542,1.5007,0.70038,1.13927,0.00722528,0.00722528,0.00722528
23,5425.58,1.16666,0.49689,1.11812,0.84723,0.78385,0.82826,0.4388,1.50278,0.70416,1.13654,0.00709315,0.00709315,0.00709315
24,5654.52,1.16524,0.4992,1.11899,0.84105,0.7972,0.83155,0.44326,1.48862,0.6911,1.1284,0.00696103,0.00696103,0.00696103
25,5886.94,1.16724,0.49909,1.11995,0.84202,0.80038,0.83188,0.43987,1.49533,0.70077,1.13578,0.0068289,0.0068289,0.0068289
26,6120.1,1.16433,0.49498,1.11715,0.84169,0.78894,0.83476,0.44443,1.4853,0.69665,1.13089,0.00669677,0.00669677,0.00669677
27,6354.07,1.15432,0.48924,1.1149,0.84294,0.79212,0.83013,0.44401,1.48202,0.6946,1.12848,0.00656464,0.00656464,0.00656464
28,6586.52,1.14711,0.48356,1.11012,0.84452,0.79418,0.8317,0.44358,1.48359,0.68647,1.13064,0.00643251,0.00643251,0.00643251
29,6818.19,1.14178,0.47942,1.10663,0.84011,0.80737,0.8331,0.44489,1.48177,0.68301,1.13186,0.00630038,0.00630038,0.00630038
30,7052.01,1.14383,0.47936,1.10982,0.83803,0.79929,0.83548,0.44652,1.47861,0.67896,1.12896,0.00616825,0.00616825,0.00616825
31,7283.84,1.13802,0.4797,1.10486,0.84218,0.79723,0.83775,0.44856,1.47602,0.67644,1.12568,0.00603612,0.00603612,0.00603612
32,7516.6,1.13646,0.46977,1.10871,0.84846,0.79372,0.83829,0.44968,1.47558,0.67669,1.12398,0.00590399,0.00590399,0.00590399
33,7748.45,1.13476,0.47296,1.10349,0.83874,0.81011,0.84163,0.45249,1.47174,0.67076,1.12233,0.00577186,0.00577186,0.00577186
34,7983.03,1.12954,0.46884,1.10041,0.84618,0.80436,0.84412,0.45346,1.46906,0.67127,1.12202,0.00563973,0.00563973,0.00563973
35,8217.86,1.12818,0.4688,1.10218,0.84509,0.80807,0.84218,0.45238,1.4681,0.66571,1.12306,0.0055076,0.0055076,0.0055076
36,8449.27,1.12783,0.46748,1.09964,0.85069,0.80409,0.8423,0.45283,1.46475,0.66566,1.12144,0.00537547,0.00537547,0.00537547
