epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.387,1.29681,0.94527,1.1852,0.72117,0.53338,0.57008,0.23747,1.84771,1.46033,1.26672,0.0670415,0.000332915,0.000332915
2,508.298,1.25363,0.71805,1.1751,0.7699,0.63388,0.67932,0.32482,1.68059,1.05505,1.24959,0.0340151,0.000639864,0.000639864
3,743.092,1.2467,0.6841,1.16762,0.73972,0.65225,0.67463,0.30362,1.704,1.12325,1.26084,0.00096229,0.000920414,0.000920414
4,976.563,1.22566,0.64733,1.15394,0.79622,0.65734,0.71574,0.34658,1.63105,1.00453,1.22352,0.0008812,0.0008812,0.0008812
5,1210.01,1.20194,0.6215,1.14237,0.78133,0.70375,0.74045,0.35949,1.57133,0.95172,1.17613,0.0008416,0.0008416,0.0008416
6,1442.43,1.18838,0.59897,1.13205,0.83656,0.70184,0.76364,0.38338,1.56589,0.90062,1.17661,0.000802,0.000802,0.000802
7,1675.89,1.16926,0.5827,1.13019,0.8019,0.70439,0.74769,0.37468,1.54294,0.90102,1.17567,0.0007624,0.0007624,0.0007624
8,1907.88,1.15853,0.56418,1.12204,0.82874,0.72727,0.77911,0.40135,1.50626,0.84374,1.15581,0.0007228,0.0007228,0.0007228
9,2139.48,1.14207,0.54826,1.11668,0.82499,0.72822,0.76982,0.39672,1.52053,0.84795,1.1573,0.0006832,0.0006832,0.0006832
10,2371.41,1.13743,0.54536,1.11018,0.84209,0.74825,0.80432,0.41067,1.48842,0.80144,1.13584,0.0006436,0.0006436,0.0006436
11,2605.17,1.13902,0.53832,1.10721,0.85749,0.75715,0.81274,0.42665,1.4676,0.7811,1.13483,0.000604,0.000604,0.000604
12,2840.11,1.11726,0.52344,1.1017,0.8447,0.76073,0.81958,0.42687,1.46353,0.78979,1.13224,0.0005644,0.0005644,0.0005644
13,3075.14,1.1186,0.52136,1.10183,0.83816,0.77374,0.812,0.43135,1.44647,0.76484,1.1217,0.0005248,0.0005248,0.0005248
14,3307.56,1.11629,0.50802,1.09787,0.85648,0.76636,0.8154,0.4335,1.43599,0.75224,1.11718,0.0004852,0.0004852,0.0004852
15,3540.94,1.09698,0.49769,1.09251,0.841,0.77003,0.82152,0.43644,1.44703,0.74264,1.1273,0.0004456,0.0004456,0.0004456
16,3764.05,1.08953,0.44509,1.11707,0.83574,0.77304,0.81669,0.43487,1.43982,0.75792,1.12766,0.000406,0.000406,0.000406
17,3985.2,1.08226,0.43831,1.11898,0.84645,0.78153,0.82507,0.44311,1.43285,0.72348,1.12449,0.0003664,0.0003664,0.0003664
18,4205.73,1.05902,0.42751,1.10679,0.84878,0.77432,0.83207,0.44526,1.4216,0.71836,1.1068,0.0003268,0.0003268,0.0003268
19,4426.29,1.05846,0.42028,1.10264,0.85916,0.77175,0.83599,0.44461,1.4205,0.71397,1.11084,0.0002872,0.0002872,0.0002872
20,4646.02,1.04965,0.41286,1.09371,0.8532,0.77813,0.83499,0.45085,1.4106,0.69793,1.11064,0.0002476,0.0002476,0.0002476
21,4866.08,1.04014,0.40811,1.0926,0.84242,0.79529,0.83973,0.45309,1.41238,0.70377,1.1065,0.000208,0.000208,0.000208
22,5086.32,1.03562,0.40094,1.0911,0.85644,0.79643,0.84392,0.45551,1.41168,0.69223,1.10567,0.0001684,0.0001684,0.0001684
23,5307.64,1.0227,0.38905,1.08332,0.85689,0.7883,0.84196,0.45284,1.41149,0.7033,1.10155,0.0001288,0.0001288,0.0001288
24,5527.51,1.01872,0.38908,1.07918,0.85999,0.79212,0.84574,0.45674,1.41428,0.69372,1.10581,8.92e-05,8.92e-05,8.92e-05
25,5748.38,1.01984,0.38482,1.08136,0.85873,0.79085,0.84514,0.45778,1.40809,0.68913,1.10386,4.96e-05,4.96e-05,4.96e-05
