epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.403,1.26371,1.58053,1.17146,0.7449,0.6192,0.65175,0.30106,1.65372,1.2523,1.19677,0.00332915,0.00332915,0.00332915
2,514.742,1.24279,0.78887,1.14217,0.76736,0.65214,0.6762,0.30875,1.64959,1.09362,1.20661,0.00657453,0.00657453,0.00657453
3,743.06,1.28531,0.77119,1.1711,0.68865,0.53528,0.56088,0.24792,1.80216,1.33988,1.34365,0.00973192,0.00973192,0.00973192
4,972.989,1.2912,0.7649,1.19481,0.74588,0.60839,0.63862,0.2817,1.75541,1.14505,1.27619,0.009604,0.009604,0.009604
5,1201.12,1.25651,0.70901,1.18099,0.78128,0.60858,0.67808,0.32574,1.65548,1.08342,1.23096,0.009472,0.009472,0.009472
6,1430.74,1.23297,0.67416,1.16352,0.79756,0.63867,0.69618,0.32862,1.67304,1.02477,1.25237,0.00934,0.00934,0.00934
7,1657.45,1.21645,0.65056,1.16474,0.80389,0.66179,0.71683,0.33444,1.66354,1.01716,1.2342,0.009208,0.009208,0.009208
8,1885.42,1.19774,0.6241,1.15104,0.82771,0.678,0.74357,0.3738,1.57261,0.91816,1.20061,0.009076,0.009076,0.009076
9,2112.77,1.17786,0.60499,1.1429,0.82081,0.68976,0.75928,0.37794,1.55821,0.90162,1.19684,0.008944,0.008944,0.008944
10,2339.83,1.17831,0.60331,1.13827,0.82961,0.71501,0.75895,0.38111,1.53623,0.88938,1.19001,0.008812,0.008812,0.008812
11,2566.86,1.18093,0.5913,1.13681,0.83914,0.73808,0.78217,0.39647,1.526,0.83195,1.16999,0.00868,0.00868,0.00868
12,2793.68,1.15856,0.58234,1.12813,0.8346,0.72727,0.78066,0.39944,1.51045,0.82949,1.16823,0.008548,0.008548,0.008548
13,3020.81,1.16222,0.57843,1.12868,0.85029,0.73109,0.78703,0.40325,1.49913,0.82334,1.1578,0.008416,0.008416,0.008416
14,3246.68,1.16039,0.5654,1.12412,0.83969,0.73617,0.79582,0.41193,1.48571,0.82117,1.14909,0.008284,0.008284,0.008284
15,3472.17,1.1412,0.55481,1.11799,0.8533,0.73999,0.79335,0.41211,1.49039,0.79479,1.14846,0.008152,0.008152,0.008152
16,3699.3,1.15688,0.55958,1.12324,0.86037,0.74952,0.80538,0.41506,1.46911,0.78135,1.13632,0.00802,0.00802,0.00802
17,3929.4,1.14185,0.54942,1.11512,0.83529,0.75779,0.80195,0.42139,1.46076,0.76957,1.13665,0.007888,0.007888,0.007888
18,4164.73,1.13341,0.54384,1.11516,0.84583,0.75335,0.80123,0.42048,1.46002,0.7643,1.13418,0.007756,0.007756,0.007756
19,4399.67,1.138,0.54572,1.11211,0.84615,0.75869,0.80972,0.42643,1.45788,0.75112,1.13614,0.007624,0.007624,0.007624
20,4633.54,1.13018,0.53754,1.11086,0.85388,0.76923,0.82118,0.42956,1.45885,0.74944,1.13542,0.007492,0.007492,0.007492
21,4865.14,1.11948,0.53295,1.10268,0.85091,0.77177,0.81598,0.43443,1.44438,0.74087,1.12386,0.00736,0.00736,0.00736
22,5097.16,1.12534,0.53238,1.10649,0.84897,0.77904,0.82641,0.43568,1.44096,0.73734,1.12149,0.007228,0.007228,0.007228
23,5329,1.1186,0.52441,1.10136,0.85559,0.77215,0.82461,0.4365,1.42265,0.74219,1.11302,0.007096,0.007096,0.007096
24,5563.7,1.11529,0.51994,1.09859,0.85701,0.78004,0.82888,0.4417,1.41916,0.72199,1.11028,0.006964,0.006964,0.006964
25,5799.1,1.12354,0.52608,1.0983,0.85887,0.76987,0.83187,0.44488,1.41383,0.71537,1.11271,0.006832,0.006832,0.006832
26,6032.85,1.11406,0.51823,1.09651,0.84237,0.77432,0.83037,0.44152,1.42107,0.71664,1.11725,0.0067,0.0067,0.0067
27,6264.16,1.10378,0.51257,1.09432,0.84383,0.77973,0.83156,0.44287,1.4223,0.72261,1.11554,0.006568,0.006568,0.006568
28,6495.58,1.10406,0.50802,1.0941,0.84462,0.78512,0.8348,0.4449,1.41476,0.70844,1.11202,0.006436,0.006436,0.006436
29,6726.47,1.10602,0.50692,1.09173,0.84676,0.78686,0.83255,0.44577,1.40613,0.70043,1.10836,0.006304,0.006304,0.006304
30,6958.67,1.10561,0.50768,1.09453,0.85618,0.79085,0.83944,0.44675,1.40672,0.69749,1.10771,0.006172,0.006172,0.006172
31,7187.7,1.09482,0.50323,1.09338,0.84735,0.79466,0.84084,0.44738,1.40976,0.70039,1.10627,0.00604,0.00604,0.00604
32,7419.74,1.09485,0.49804,1.08774,0.85403,0.79275,0.84433,0.44823,1.41177,0.69225,1.10549,0.005908,0.005908,0.005908
33,7651.12,1.09127,0.49855,1.08985,0.84296,0.79512,0.84248,0.44958,1.41083,0.69298,1.10876,0.005776,0.005776,0.005776
34,7881.57,1.08932,0.49243,1.08414,0.83416,0.79975,0.84173,0.44964,1.41105,0.69133,1.10703,0.005644,0.005644,0.005644
35,8111.46,1.08114,0.49223,1.08138,0.83678,0.80176,0.84468,0.45013,1.40533,0.68966,1.10371,0.005512,0.005512,0.005512
36,8341.13,1.07814,0.48622,1.08564,0.83659,0.80928,0.84583,0.45277,1.40064,0.68936,1.104,0.00538,0.00538,0.00538
37,8576.15,1.08093,0.4893,1.07736,0.84365,0.80102,0.84483,0.45454,1.39993,0.68931,1.10474,0.005248,0.005248,0.005248
38,8809.89,1.07493,0.4846,1.08402,0.84402,0.79975,0.84573,0.45531,1.39796,0.68867,1.10505,0.005116,0.005116,0.005116
39,9044.4,1.07692,0.48212,1.07998,0.84797,0.80135,0.84629,0.45441,1.3969,0.68708,1.10471,0.004984,0.004984,0.004984
40,9276.73,1.07076,0.47811,1.07864,0.8419,0.80233,0.8445,0.45441,1.39696,0.68501,1.10442,0.004852,0.004852,0.004852
41,9509.01,1.07719,0.47824,1.07371,0.84423,0.80483,0.84605,0.45569,1.39549,0.68023,1.10289,0.00472,0.00472,0.00472
42,9741.1,1.06309,0.4703,1.07196,0.84604,0.80547,0.84522,0.45563,1.39446,0.67923,1.1019,0.004588,0.004588,0.004588
43,9971.79,1.06622,0.47155,1.07027,0.84331,0.80749,0.84608,0.45576,1.39407,0.67819,1.10192,0.004456,0.004456,0.004456
44,10202.9,1.06506,0.47382,1.07432,0.84041,0.80681,0.84445,0.45581,1.39262,0.67778,1.10095,0.004324,0.004324,0.004324
45,10434.7,1.05932,0.47017,1.07401,0.84061,0.80804,0.8468,0.45692,1.39148,0.67845,1.10029,0.004192,0.004192,0.004192
46,10667,1.05844,0.46562,1.06896,0.841,0.807,0.84695,0.45743,1.39097,0.67761,1.10014,0.00406,0.00406,0.00406
47,10898.6,1.05102,0.45979,1.06404,0.84238,0.80864,0.84847,0.45794,1.39134,0.67648,1.10023,0.003928,0.003928,0.003928
48,11130.6,1.05093,0.45798,1.06818,0.84099,0.80693,0.84946,0.4594,1.38972,0.67579,1.09958,0.003796,0.003796,0.003796
49,11361.6,1.04721,0.45641,1.07267,0.84486,0.81011,0.85087,0.45924,1.38873,0.6739,1.09908,0.003664,0.003664,0.003664
50,11591.2,1.04997,0.45561,1.06661,0.84538,0.80865,0.85165,0.45952,1.38901,0.67415,1.09888,0.003532,0.003532,0.003532
51,11820.6,1.04526,0.45466,1.06465,0.84621,0.80807,0.8518,0.45988,1.38861,0.67479,1.09844,0.0034,0.0034,0.0034
52,12049.6,1.03794,0.44749,1.06171,0.84682,0.80737,0.85199,0.46109,1.38746,0.67453,1.09745,0.003268,0.003268,0.003268
53,12280.1,1.04082,0.4495,1.05871,0.84817,0.80801,0.85231,0.46171,1.38738,0.67321,1.0968,0.003136,0.003136,0.003136
54,12509.6,1.03501,0.44788,1.05722,0.84935,0.80644,0.85269,0.46172,1.38802,0.67308,1.09634,0.003004,0.003004,0.003004
55,12741.2,1.03316,0.44487,1.05758,0.84798,0.80674,0.85193,0.4619,1.38697,0.67194,1.09549,0.002872,0.002872,0.002872
56,12971.1,1.02043,0.43886,1.05147,0.84719,0.80547,0.85228,0.4624,1.38683,0.6722,1.09501,0.00274,0.00274,0.00274
57,13201.9,1.02065,0.44438,1.05091,0.84784,0.80408,0.85274,0.46291,1.38678,0.67182,1.09478,0.002608,0.002608,0.002608
58,13432,1.02227,0.43477,1.05351,0.84579,0.8061,0.85156,0.46327,1.38656,0.6713,1.09431,0.002476,0.002476,0.002476
59,13663.4,1.01991,0.43176,1.05054,0.84642,0.80547,0.85159,0.46355,1.38627,0.67041,1.09422,0.002344,0.002344,0.002344
60,13895.1,1.01784,0.43276,1.05276,0.84809,0.8061,0.85489,0.46425,1.38575,0.66939,1.09424,0.002212,0.002212,0.002212
61,14126,0.99791,0.42463,1.04116,0.84705,0.80622,0.85462,0.46491,1.38612,0.66895,1.09416,0.00208,0.00208,0.00208
62,14358.3,1.01011,0.42706,1.04518,0.85101,0.8061,0.85472,0.46432,1.38509,0.66781,1.0935,0.001948,0.001948,0.001948
63,14590.8,1.00367,0.42328,1.04343,0.8509,0.80542,0.8552,0.46409,1.38422,0.668,1.0931,0.001816,0.001816,0.001816
64,14825.2,0.99532,0.41933,1.04437,0.85269,0.80589,0.85702,0.46386,1.3838,0.6669,1.09257,0.001684,0.001684,0.001684
65,15059.3,0.99677,0.41689,1.041,0.85216,0.80483,0.8543,0.46328,1.38347,0.66745,1.09228,0.001552,0.001552,0.001552
66,15284.1,0.97241,0.37018,1.05715,0.85456,0.80313,0.85386,0.46426,1.38309,0.66721,1.09205,0.00142,0.00142,0.00142
67,15509.7,0.96625,0.36857,1.05828,0.85614,0.80102,0.8541,0.46489,1.38305,0.66625,1.09189,0.001288,0.001288,0.001288
68,15737,0.96182,0.36355,1.0522,0.85405,0.80356,0.85485,0.46501,1.38305,0.66564,1.09199,0.001156,0.001156,0.001156
69,15960.3,0.95279,0.361,1.04815,0.85444,0.80229,0.85625,0.46509,1.38247,0.66522,1.0914,0.001024,0.001024,0.001024
70,16184.3,0.95371,0.35843,1.04522,0.85236,0.80376,0.85525,0.46554,1.38265,0.66534,1.09083,0.000892,0.000892,0.000892
71,16407.9,0.94353,0.35649,1.04484,0.85262,0.8042,0.85523,0.46538,1.38239,0.66482,1.09126,0.00076,0.00076,0.00076
72,16631.7,0.94638,0.3529,1.04334,0.85368,0.80356,0.85542,0.46601,1.38202,0.66439,1.09124,0.000628,0.000628,0.000628
73,16854.5,0.93261,0.34852,1.04093,0.85666,0.80167,0.85564,0.46644,1.38233,0.66252,1.09165,0.000496,0.000496,0.000496
74,17077.3,0.93019,0.34605,1.03983,0.85028,0.80514,0.85444,0.46673,1.38215,0.6626,1.09127,0.000364,0.000364,0.000364
75,17299.1,0.92913,0.34528,1.03628,0.85078,0.80547,0.85458,0.46787,1.38211,0.66188,1.09161,0.000232,0.000232,0.000232
